acc,std,method,num_shots,tasks
90.8357,0.1859,LinearProbe_P2,4,10
90.9209,0.2772,LinearProbe_P2,4,10
90.5477,0.1912,LinearProbe_P2,4,10
90.2718,0.3704,LinearProbe_P2,4,10
90.4746,0.2411,LinearProbe_P2,4,10
90.4868,0.2704,LinearProbe_P2,4,10
90.5477,0.2391,LinearProbe_P2,4,10
90.6613,0.173,LinearProbe_P2,4,10
