acc,std,method,num_shots,tasks
92.7181,0.2264,LinearProbe_P2,16,10
92.7911,0.1872,LinearProbe_P2,16,10
92.572,0.2253,LinearProbe_P2,16,10
92.2596,0.2476,LinearProbe_P2,16,10
92.4746,0.1714,LinearProbe_P2,16,10
92.215,0.2863,LinearProbe_P2,16,10
92.5274,0.1738,LinearProbe_P2,16,10
92.3002,0.2799,LinearProbe_P2,16,10
